산업,연령,성별,시도,규모,P_F
건설업,30~39세,남자,강원,5인 미만,0.00010120135676630447
건설업,30~39세,남자,경기,"1,000인 이상",9.681935183936917e-06
건설업,30~39세,남자,경기,100~299인,0.0003222524995039342
건설업,30~39세,남자,경기,10~19인,0.00014432321622836255
건설업,30~39세,남자,경기,20~49인,0.0001615397230619168
건설업,30~39세,남자,경기,300~499인,0.00022554551800230016
건설업,30~39세,남자,경기,500~999인,0.00018210920096593006
건설업,30~39세,남자,경기,50~99인,0.0002251303200647501
건설업,30~39세,남자,경기,5~9인,0.00016520253802186684
건설업,30~39세,남자,경기,5인 미만,0.0006108903219536537
건설업,30~39세,남자,경남,100~299인,4.6691805953431635e-05
건설업,30~39세,남자,경남,10~19인,3.47994923325686e-05
건설업,30~39세,남자,경남,20~49인,3.298564572562431e-05
건설업,30~39세,남자,경남,300~499인,1.0772242363065031e-05
건설업,30~39세,남자,경남,50~99인,3.7049509459347e-05
건설업,30~39세,남자,경남,5~9인,4.1803023546748135e-05
건설업,30~39세,남자,경남,5인 미만,0.00012970988173298075
건설업,30~39세,남자,경북,100~299인,3.699938974537878e-05
건설업,30~39세,남자,경북,10~19인,3.582204528387521e-05
건설업,30~39세,남자,경북,20~49인,2.929953257048238e-05
건설업,30~39세,남자,경북,300~499인,1.526810202429657e-05
건설업,30~39세,남자,경북,50~99인,3.6036041980982755e-05
건설업,30~39세,남자,경북,5~9인,4.489787787611453e-05
건설업,30~39세,남자,경북,5인 미만,0.00013104206758627563
건설업,30~39세,남자,광주,100~299인,7.844349832750179e-05
건설업,30~39세,남자,광주,10~19인,2.00550073889354e-05
건설업,30~39세,남자,광주,20~49인,2.509015619068784e-05
건설업,30~39세,남자,광주,300~499인,4.948652637879748e-05
건설업,30~39세,남자,광주,500~999인,5.106900928385047e-05
건설업,30~39세,남자,광주,50~99인,3.6905311027956963e-05
건설업,30~39세,남자,광주,5~9인,2.2633203614870568e-05
건설업,30~39세,남자,광주,5인 미만,7.139167999233036e-05
건설업,30~39세,남자,대구,100~299인,4.2552971440116644e-05
건설업,30~39세,남자,대구,10~19인,2.361141310216354e-05
건설업,30~39세,남자,대구,20~49인,2.6449658141117665e-05
건설업,30~39세,남자,대구,300~499인,4.1523566486314246e-05
건설업,30~39세,남자,대구,500~999인,4.6107367360812666e-05
건설업,30~39세,남자,대구,50~99인,3.325295558194027e-05
건설업,30~39세,남자,대구,5~9인,2.607286626156357e-05
