baseline_id	industry	size_class	region	accident_count	death_count	serious_ratio	top_accident_type
456	제조업	1,000인 이상	대구	22	1	0.0455	업무상질병
457	제조업	1,000인 이상	대전	2415	16	0.0066	업무상질병
458	제조업	1,000인 이상	부산	598	2	0.0033	업무상질병
459	제조업	1,000인 이상	서울	4	0	0.0000	넘어짐
460	제조업	1,000인 이상	울산	7927	116	0.0146	업무상질병
461	제조업	1,000인 이상	인천	1247	11	0.0088	업무상질병
462	제조업	1,000인 이상	전남	1398	17	0.0122	업무상질병
463	제조업	1,000인 이상	전북	1054	12	0.0114	업무상질병
464	제조업	1,000인 이상	충남	1266	29	0.0229	업무상질병
465	제조업	1,000인 이상	충북	377	4	0.0106	넘어짐
466	제조업	100~299인	강원	539	13	0.0241	업무상질병
467	제조업	100~299인	경기	4549	83	0.0182	끼임
468	제조업	100~299인	경남	4125	77	0.0187	업무상질병
469	제조업	100~299인	경북	1618	34	0.0210	업무상질병
470	제조업	100~299인	광주	717	7	0.0098	업무상질병
471	제조업	100~299인	대구	1088	15	0.0138	끼임
472	제조업	100~299인	대전	1003	8	0.0080	끼임
473	제조업	100~299인	부산	1009	16	0.0159	끼임
474	제조업	100~299인	서울	242	2	0.0083	업무상질병
475	제조업	100~299인	울산	1858	32	0.0172	업무상질병
476	제조업	100~299인	인천	1209	22	0.0182	업무상질병
477	제조업	100~299인	전남	652	10	0.0153	업무상질병
478	제조업	100~299인	전북	1170	17	0.0145	끼임
479	제조업	100~299인	제주	25	0	0.0000	끼임
480	제조업	100~299인	충남	2405	30	0.0125	업무상질병
481	제조업	100~299인	충북	2084	29	0.0139	끼임
482	제조업	10~19인	강원	1125	57	0.0507	업무상질병
483	제조업	10~19인	경기	13673	196	0.0143	끼임
484	제조업	10~19인	경남	5186	76	0.0147	끼임
485	제조업	10~19인	경북	1960	36	0.0184	끼임
486	제조업	10~19인	광주	1231	18	0.0146	끼임
487	제조업	10~19인	대구	3311	52	0.0157	끼임
488	제조업	10~19인	대전	1025	13	0.0127	끼임
489	제조업	10~19인	부산	2846	42	0.0148	끼임
490	제조업	10~19인	서울	1002	26	0.0259	끼임
491	제조업	10~19인	울산	1258	19	0.0151	업무상질병
492	제조업	10~19인	인천	2919	35	0.0120	끼임
493	제조업	10~19인	전남	1021	34	0.0333	업무상질병
494	제조업	10~19인	전북	1334	23	0.0172	끼임
495	제조업	10~19인	제주	181	1	0.0055	절단베임찔림
496	제조업	10~19인	충남	1766	29	0.0164	끼임
497	제조업	10~19인	충북	2046	40	0.0196	끼임
498	제조업	20~29인	강원	478	14	0.0293	업무상질병
499	제조업	20~29인	경기	7221	117	0.0162	끼임
500	제조업	20~29인	경남	2951	49	0.0166	끼임
501	제조업	20~29인	경북	1105	27	0.0244	업무상질병
502	제조업	20~29인	광주	722	15	0.0208	끼임
503	제조업	20~29인	대구	1894	28	0.0148	끼임
504	제조업	20~29인	대전	573	8	0.0140	끼임
505	제조업	20~29인	부산	1531	28	0.0183	끼임
506	제조업	20~29인	서울	470	7	0.0149	끼임
507	제조업	20~29인	울산	778	11	0.0141	업무상질병
508	제조업	20~29인	인천	1471	16	0.0109	끼임
509	제조업	20~29인	전남	595	9	0.0151	업무상질병
